Ticker,Date,Open,High,Low,Close,Adj Close,Volume
KHC,2026-01-15,24.24,24.32,24.01,24.24,24.24,11696200
KHC,2026-01-16,23.84,23.9,23.5,23.53,23.53,14774000
KHC,2026-01-20,23.41,23.93,23.19,23.76,23.76,17947000
KHC,2026-01-21,22.23,22.8,21.99,22.4,22.4,40776200
KHC,2026-01-22,22.29,22.78,22.25,22.72,22.72,18640500
KHC,2026-01-23,22.68,23.24,22.67,23.2,23.2,14248200
KHC,2026-01-26,23.2,23.73,23.2,23.58,23.58,14882800
KHC,2026-01-27,23.53,23.91,23.46,23.7,23.7,19464400
KHC,2026-01-28,23.68,23.85,22.99,23.19,23.19,14190500
KHC,2026-01-29,23.25,23.47,22.98,23.14,23.14,18069900
KHC,2026-01-30,23.2,23.76,23.05,23.74,23.74,21990800
KLAC,2026-01-02,1259.71,1283.99,1250.55,1274.47,1274.47,832100
KLAC,2026-01-05,1309.97,1371.89,1304.0,1352.45,1352.45,1319900
KLAC,2026-01-06,1369.31,1406.97,1365.28,1395.0,1395.0,1141400
KLAC,2026-01-07,1369.07,1380.0,1352.54,1359.69,1359.69,904500
KLAC,2026-01-08,1351.27,1353.81,1309.2,1324.6,1324.6,948500
KLAC,2026-01-09,1357.42,1404.46,1336.0,1400.0,1400.0,1102400
KLAC,2026-01-12,1386.63,1432.25,1386.63,1428.17,1428.17,855600
KLAC,2026-01-13,1461.0,1469.86,1433.2,1441.82,1441.82,996600
KLAC,2026-01-14,1430.87,1434.79,1396.1,1434.5,1434.5,896500
KLAC,2026-01-15,1538.0,1571.49,1525.0,1544.96,1544.96,1657600
KLAC,2026-01-16,1574.67,1581.34,1535.1,1567.82,1567.82,1531700
KLAC,2026-01-20,1525.4,1555.26,1484.34,1486.18,1486.18,1734000
KLAC,2026-01-21,1507.25,1541.25,1480.44,1520.0,1520.0,1499900
KLAC,2026-01-22,1549.14,1556.58,1497.88,1500.0,1500.0,1026000
KLAC,2026-01-23,1484.23,1512.97,1451.82,1512.78,1512.78,1010200
KLAC,2026-01-26,1512.44,1556.72,1490.55,1543.03,1543.03,1259900
KLAC,2026-01-27,1561.5,1618.19,1555.0,1616.33,1616.33,1174200
KLAC,2026-01-28,1634.46,1650.0,1600.97,1627.2,1627.2,1091500
KLAC,2026-01-29,1642.93,1693.35,1608.21,1684.71,1684.71,1506400
KLAC,2026-01-30,1540.0,1585.0,1416.84,1427.94,1427.94,2788100
LIN,2026-01-02,426.28,430.81,422.08,429.11,429.11,2202400
